mode,matrix_layout,data_layout,looking,m,b,repeat,num_systems,num_threads,time_ms,gflops,max_rel_error
fp32,tiled,col_major,right,4096,256,3,40,40,20.270905,33.10600291,1.267699895e-06
fp32,tiled,col_major,right,4096,256,4,40,40,20.260252,33.12341031,1.267699895e-06
fp32,tiled,col_major,right,4096,256,5,40,40,20.237522,33.16061324,1.267699895e-06
fp32,tiled,col_major,right,4096,256,6,40,40,20.249303,33.14132047,1.267699895e-06
fp32,tiled,col_major,right,4096,256,7,40,40,20.259075,33.1253347,1.267699895e-06
fp32,tiled,col_major,right,4096,256,8,40,40,20.284718,33.08345918,1.267699895e-06
fp32,tiled,col_major,right,4096,256,9,40,40,20.2358,33.1634351,1.267699895e-06
direct_fp64_mkl,contiguous,col_major,direct,4096,256,0,40,40,40.546518,16.55107943,2.796139708e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,256,1,40,40,40.55521,16.54753212,2.796139708e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,256,2,40,40,40.542235,16.55282793,2.796139708e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,256,3,40,40,40.55866,16.54612455,2.796139708e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,256,4,40,40,45.074032,14.88858685,2.796139708e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,256,5,40,40,44.743924,14.99843062,2.796139708e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,256,6,40,40,46.797221,14.34035239,2.796139708e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,256,7,40,40,44.705851,15.01120379,2.796139708e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,256,8,40,40,42.701322,15.71587503,2.796139708e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,256,9,40,40,40.59535,16.5311702,2.796139708e-16
direct_fp32_mkl,contiguous,col_major,direct,4096,256,0,40,40,20.550241,32.65599854,1.257705084e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,256,1,40,40,20.519288,32.70525956,1.257705084e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,256,2,40,40,20.516479,32.70973738,1.257705084e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,256,3,40,40,20.456498,32.8056464,1.257705084e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,256,4,40,40,20.465745,32.79082389,1.257705084e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,256,5,40,40,20.468964,32.78566712,1.257705084e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,256,6,40,40,20.460154,32.7997844,1.257705084e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,256,7,40,40,20.47715,32.77256063,1.257705084e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,256,8,40,40,20.43567,32.83908186,1.257705084e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,256,9,40,40,20.461403,32.79778224,1.257705084e-06
fp64,tiled,col_major,right,4096,512,0,40,40,39.834946,16.84673151,5.2538309e-16
fp64,tiled,col_major,right,4096,512,1,40,40,39.832264,16.84786584,5.2538309e-16
fp64,tiled,col_major,right,4096,512,2,40,40,39.829273,16.84913104,5.2538309e-16
